;Identifiant du Tweet;Permalien du Tweet;Texte du Tweet;heure;impressions;engagements;taux d’engagement;Retweets;réponses;J'aime;clics sur le profil de l'utilisateur;clics sur l'URL;clics sur le hashtag;ouvertures des détails;clics sur le permalien;ouvertures d'application;installations de l'application;abonnements ;envoyer le Tweet par email;composer le numéro;vues du média;engagements avec le média;impressions sponsorisé;engagements sponsorisé;taux d’engagement sponsorisé;Retweets sponsorisé;réponses sponsorisé;J'aime sponsorisé;clics sur le profil de l'utilisateur sponsorisé;clics sur l'URL sponsorisé;clics sur le hashtag sponsorisé;ouvertures des détails sponsorisé;clics sur le permalien sponsorisé;ouvertures d'application sponsorisé;installations de l'application sponsorisé;abonnements  sponsorisé;envoyer le Tweet par email sponsorisé;composer le numéro sponsorisé;vues du média sponsorisé;engagements avec le média sponsorisé
6;1336643231665315841;https://twitter.com/groupe_onx/status/1336643231665315841;"📢 En direct de la #PBWS : interview de notre expert @amarmic avec @katborlongan, Director of @LaFrenchTech, au sujet du marché de la Blockchain.
#Blockchain #cryptomonnaies https://t.co/0SX1gmD1il";2020-12-09 12:05:00+00:00;705;20;0.0283687943262411;1;0;2;4;0;0;8;0;0;0;0;0;0;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;1336605373827076096;https://twitter.com/groupe_onx/status/1336605373827076096;"La #PBWS2020 a commencé ! 🚀2 jours de conférences passionnantes sur la #Blockchain et les #Cryptomonnaies. RDV sur le stand virtuel d'ON-X Blockchain pour rencontrer nos experts et échanger sur vos projets. 
https://t.co/1UOOsfA56p
#PBWS #BuildtheWeb #Consulting #Developpement https://t.co/KofXkO9TRf";2020-12-09 09:35:00+00:00;852;10;0.0117370892018779;2;0;2;0;0;0;4;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8;1336265726034898944;https://twitter.com/groupe_onx/status/1336265726034898944;J-1 avant #PBWS2020, la plus grande conférence #Blockchain d'Europe. Ne ratez pas les trois interventions de Nicolas Cantu, directeur d'ON-X Blockchain. Inscription 👉https://t.co/tMz4Mdy8BP https://t.co/ngB6HZlZxx;2020-12-08 11:05:00+00:00;755;18;0.023841059602649;1;0;2;0;0;1;8;0;0;0;0;0;0;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;1354117778370940929;https://twitter.com/groupe_onx/status/1354117778370940929;Voici un reportage édifiant de @brutofficiel sur les services de la ville d'Angers, paralysés suite à une #cyberattaque. Et vous, êtes vous sûrs que vos défenses sont suffisamment résistantes ? N'imaginez plus votre niveau de #sécurité, mesurez-le ! https://t.co/e5eY7xAKyo https://t.co/G5abxh80sY;2021-01-26 17:23:00+00:00;1092;2;0.0018315018315018;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;1351470137401077760;https://twitter.com/groupe_onx/status/1351470137401077760;"#ImmersiveLearning ou comment renforcer la #mémorisation et l'#engagement des apprenants, grâce à l'immersion et l'expérimentation. A la clé : des gains en productivité et en contrôle qualité !
#réalitévirtuelle #maintenance #formation #industrie40 
https://t.co/Jz0Xa3R4gv https://t.co/LpqyGHnlfR";2021-01-19 10:02:00+00:00;927;2;0.0021574973031283;0;0;0;0;0;0;2;0;0;0;0;0;0;9;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1349704126247153664;https://twitter.com/groupe_onx/status/1349704126247153664;"Notre équipe #SécuritéNumérique participe le 21/01 au #Jobdating Cyber &amp; Féminin organisé par le CEFCYS, évènement en ligne pour promouvoir les femmes dans les métiers de la #cybersécurité. Inscription et candidature 👉https://t.co/pbT2VdUt9a https://t.co/PTEOJpTSYV";2021-01-14 13:05:00+00:00;1410;11;0.0078014184397163;3;0;2;0;0;0;4;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;1349306918322532352;https://twitter.com/groupe_onx/status/1349306918322532352;"Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». 🧐📰
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/DUrSrdBAzx https://t.co/oAB8X6sw7Y";2021-01-13 10:46:00+00:00;1186;16;0.0134907251264755;2;0;2;2;1;0;5;0;0;0;0;0;0;48;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1347213192540413952;https://twitter.com/groupe_onx/status/1347213192540413952;Un article publié par le magazine Entreprendre projette une augmentation du nombre de #cyberattaques en 2021 : https://t.co/nSgM1OvQfN 🛡Et vous, êtes vous paré face à cette menace ? Demandez un diagnostic de votre niveau de #sécurité : https://t.co/e5eY7xAKyo;2021-01-07 16:07:00+00:00;800;3;0.00375;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1346445569074622466;https://twitter.com/groupe_onx/status/1346445569074622466;ON-X Groupe vous adresse ses meilleurs #vœux de bonheur, de santé et de réussite. 🥂 Toutes nos équipes sont très enthousiastes de vous accompagner au cours de cette année 2021 pour faire en sorte que vos projets soient couronnés de succès. 🎯🏆 #numérique #innovation #agilité https://t.co/n80YEq2Zvp;2021-01-05 13:16:00+00:00;1059;5;0.0047214353163361;3;0;1;0;0;0;0;0;0;0;0;0;0;26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;1365265962396770305;https://twitter.com/groupe_onx/status/1365265962396770305;"Téléchargez le #LivreBlanc de notre partenaire 
@PTC_France pour comprendre, à travers des témoignages, comment la #RéalitéAugmentée se positionne comme un allier stratégique pour les #industriels.
👉 https://t.co/rIW0Dfk2Pj
#PTC #industrie40 #AR https://t.co/zr0wL8vAHn";2021-02-26 11:42:00+00:00;966;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
